id,language,question
1,JavaScript,JavaScriptで変数を宣言するキーワードはどれですか？
2,Python,Pythonで整数型を表すデータ型はどれですか？
3,PHP,PHPで変数を宣言する正しい方法はどれですか？
4,JavaScript,JavaScriptで変数を宣言するキーワードで、再代入できないものはどれですか？
5,JavaScript,"次のコードの出力は？
console.log(2 + '2');"
6,JavaScript,配列から最後の要素を取り出すメソッドはどれですか？
7,JavaScript,文字列の長さを取得するプロパティはどれですか？
8,JavaScript,JavaScriptでコメントを書く正しい方法はどれですか？
9,JavaScript,真偽値を反転させる演算子はどれですか？
10,JavaScript,配列の要素数を取得する方法はどれですか？
11,JavaScript,文字列を数値に変換する関数はどれですか？
12,JavaScript,undefinedが返されるのはどんな時ですか？
13,JavaScript,オブジェクトのプロパティにアクセスする方法として正しいものはどれですか？
14,JavaScript,NaNの意味は何ですか？
15,JavaScript,"次のコードの出力は？
console.log(typeof []);"
16,JavaScript,文字列を配列に分割するメソッドはどれですか？
17,JavaScript,配列の要素をすべて文字列に結合するメソッドはどれですか？
18,JavaScript,条件演算子（三項演算子）の正しい構文はどれですか？
19,JavaScript,アロー関数の正しい構文はどれですか？
20,JavaScript,配列のすべての要素に処理を適用するメソッドはどれですか？
21,JavaScript,配列から条件に合う要素のみを抽出するメソッドはどれですか？
22,JavaScript,Promiseで非同期処理の成功を処理するメソッドはどれですか？
23,JavaScript,分割代入の正しい構文はどれですか？
24,JavaScript,クロージャを正しく説明しているのはどれですか？
25,JavaScript,async/awaitの説明として正しいのはどれですか？
26,JavaScript,イベントループの役割として正しいのはどれですか？
27,Python,Pythonでリストを作成する正しい構文はどれですか？
28,Python,Pythonで辞書を作成する正しい構文はどれですか？
29,Python,Pythonでタプルを作成する正しい構文はどれですか？
30,Python,Pythonでコメントを書く正しい方法はどれですか？
31,Python,range(5)の出力はどれですか？
32,Python,リストの末尾に要素を追加するメソッドはどれですか？
33,Python,文字列を繰り返す演算子はどれですか？
34,Python,リストの要素を並び替えるメソッドはどれですか？
35,Python,辞書からキーの一覧を取得するメソッドはどれですか？
36,Python,リスト内包表記の正しい構文はどれですか？
37,PHP,PHPで配列を作成する正しい構文はどれですか？
38,PHP,PHPで文字列を連結する演算子はどれですか？
39,JavaScript,"次のコードの出力は？
console.log(0 == false);"
40,JavaScript,配列の先頭に要素を追加するメソッドはどれですか？
41,JavaScript,オブジェクトのプロパティを削除する演算子はどれですか？
42,JavaScript,配列から特定の要素のインデックスを取得するメソッドはどれですか？
43,JavaScript,配列の一部を抽出するメソッドはどれですか？
44,JavaScript,テンプレートリテラルの正しい構文はどれですか？
45,JavaScript,スプレッド構文の正しい使い方はどれですか？
46,JavaScript,デフォルト引数の正しい構文はどれですか？
47,JavaScript,配列の累積計算を行うメソッドはどれですか？
48,JavaScript,try-catchでエラーを投げる構文はどれですか？
49,Python,Pythonでセットを作成する構文はどれですか？
50,Python,Pythonで例外を捕捉する構文はどれですか？
51,Python,リストの要素を逆順にするメソッドはどれですか？
52,Python,文字列を大文字に変換するメソッドはどれですか？
53,Python,辞書に新しいキーを追加する方法はどれですか？
54,Python,lambda関数の正しい構文はどれですか？
55,Python,文字列のフォーマット方法として正しいのはどれですか？
56,Python,リストの要素数を数えるメソッドはどれですか？
57,Python,辞書のキーと値のペアを取得するメソッドはどれですか？
58,Python,リストをソートした新しいリストを返す関数はどれですか？
59,Python,ファイルを開く正しい方法はどれですか？
60,Python,ジェネレータを作成するキーワードはどれですか？
61,Python,デコレータの正しい構文はどれですか？
62,HTML,HTMLで段落を作成するタグはどれですか？
63,HTML,HTMLでリンクを作成するタグはどれですか？
64,HTML,HTMLで画像を表示するタグはどれですか？
65,HTML,HTMLで順序なしリストを作成するタグはどれですか？
66,HTML,HTMLで順序付きリストを作成するタグはどれですか？
67,HTML,HTMLでテーブルを作成する基本タグはどれですか？
68,HTML,HTMLでフォームを作成するタグはどれですか？
69,HTML,HTMLで改行するタグはどれですか？
70,HTML,HTML5のセマンティック要素はどれですか？
71,HTML,HTMLでメタ情報を記述するタグはどれですか？
72,CSS,CSSでフォントサイズを指定するプロパティはどれですか？
73,CSS,CSSで要素を中央揃えにするプロパティはどれですか？
74,CSS,CSSでマージンを指定するプロパティはどれですか？
75,CSS,CSSでパディングを指定するプロパティはどれですか？
76,CSS,CSSでボーダーを指定する省略記法はどれですか？
77,CSS,CSSでフレックスボックスを使うプロパティはどれですか？
78,CSS,CSSでグリッドレイアウトを使うプロパティはどれですか？
79,CSS,CSSで要素を非表示にするプロパティはどれですか？
80,CSS,CSSで要素を重ねる順序を指定するプロパティはどれですか？
81,CSS,CSSアニメーションを定義するルールはどれですか？
82,TypeScript,TypeScriptで数値型を指定する型注釈はどれですか？
83,TypeScript,TypeScriptで配列の型を指定する方法はどれですか？
84,TypeScript,TypeScriptでオプショナルなプロパティを示す記号はどれですか？
85,TypeScript,TypeScriptでインターフェースを定義するキーワードはどれですか？
86,TypeScript,TypeScriptでユニオン型を表す記号はどれですか？
87,PHP,PHPでechoとprintの違いとして正しいのはどれですか？
88,PHP,PHPで配列に要素を追加する方法として正しいのはどれですか？
89,PHP,PHPで連想配列を作成する正しい構文はどれですか？
90,PHP,PHPでクラスを定義する正しい構文はどれですか？
91,PHP,PHPでコンストラクタを定義するメソッド名はどれですか？
92,PHP,PHPで文字列の長さを取得する関数はどれですか？
93,PHP,PHPで配列の要素数を取得する関数はどれですか？
94,PHP,PHPでincludeとrequireの違いは何ですか？
95,PHP,PHPでセッションを開始する関数はどれですか？
96,PHP,PHPでデータベースに接続する推奨方法はどれですか？
97,Ruby,Rubyでメソッドを定義する正しい構文はどれですか？
